Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,368.344,4.725000000000004,1.0,2.0,6.0,27.96,2.0,21.0,0.5,1.9179614341532278,5.85
CN(Cc1ccc([S+]([O-])C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,424.44400000000013,3.709400000000003,0.0,3.0,5.0,63.68,3.0,29.0,0.3,1.6153781608799986,5.06
C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,655.841,2.373300000000003,5.0,8.0,19.0,188.34999999999997,2.0,47.0,0.6470588235294118,2.2688037474480627,5.57
CC(C)[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@H](C)C=O,330.38100000000003,0.8321999999999999,2.0,4.0,7.0,92.34,1.0,22.0,0.42857142857142855,2.965687559014363,6.2
COc1ccc2ccccc2c1/C=N/N=C(/N)S,259.33399999999995,2.4267999999999996,2.0,3.0,3.0,59.97,2.0,18.0,0.07692307692307693,2.57698267220626,6.25
CC(C)[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](C=O)Cc1ccccc1,438.54900000000015,3.0691000000000015,2.0,4.0,9.0,92.34,3.0,31.0,0.25,1.7642730835949578,7.85
NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,274.176,2.6468000000000007,1.0,2.0,1.0,41.62,2.0,16.0,0.2,2.2872977623695294,7.22
C[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,308.38100000000003,3.3008000000000024,1.0,2.0,4.0,49.410000000000004,3.0,23.0,0.2631578947368421,1.624824828329246,5.4
Cc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,322.408,3.3904200000000024,0.0,2.0,4.0,40.620000000000005,3.0,24.0,0.3,1.6353720004822803,5.05
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O,421.45000000000016,0.19220000000000137,4.0,7.0,8.0,143.06,2.0,30.0,0.5,1.8502583510189021,7.19
O=C1C[C@H](NC(=O)[C@@H]2CCC[C@@H]3CCC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,459.49900000000014,0.9650999999999994,3.0,7.0,5.0,134.27,4.0,33.0,0.5652173913043478,1.3982662244454496,7.44
Cc1csc2nc([C@H](C)NC(=O)/C=C(\Sc3ccccc3)c3ccccc3)oc(=O)c12,448.5690000000002,5.568520000000005,1.0,6.0,6.0,72.2,4.0,31.0,0.125,1.5802175574200716,6.85
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)O,673.812,1.2719000000000047,6.0,9.0,19.0,225.64999999999998,2.0,48.0,0.6666666666666666,2.267242695371268,6.64
CC(C)[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,445.51600000000013,2.5362999999999998,3.0,4.0,9.0,108.13,3.0,31.0,0.2727272727272727,1.7399447936614836,7.64
CN(Cc1cccc([N+](=O)[O-])c1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,353.37800000000004,2.9902000000000015,0.0,4.0,5.0,83.75999999999999,3.0,26.0,0.2631578947368421,1.6598384628181548,5.16
Cc1ccc(S(=O)(=O)N[C@H](C(=O)N[C@@H](C=O)Cc2ccccc2)C(C)C)cc1,402.51600000000013,2.2243199999999996,2.0,4.0,9.0,92.34,2.0,28.0,0.3333333333333333,2.1199116128639375,7.75
