SMILES,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCCCc1ccccc1)C(C)C,510.6350000000003,2.3019000000000016,3.0,6.0,14.0,116.84,2.0,37.0,0.4285714285714285,2.0978680123703164,7.96
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N,591.596,6.602980000000007,3.0,4.0,12.0,85.15,3.0,42.0,0.3548387096774194,1.8255131014359336,6.74
CC(C)(C)c1cc2nc3n(c(O)c-2n1)[C@H](C(=O)N[C@H]1CC(=O)OC1O)CC3,269.345,1.56558,2.0,4.0,5.0,91.22,0.0,19.0,0.7692307692307693,4.550904809809151,5.64
CCCC(NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,438.56800000000015,4.695700000000004,2.0,4.0,11.0,84.5,2.0,32.0,0.4230769230769231,1.961880585214792,5.52
N#CC1(NC(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)c2cnn(C3COC3)n2)CC1,498.8490000000002,1.9148799999999997,2.0,8.0,8.0,131.16,4.0,34.0,0.45,1.499602853240065,7.48
CCOP(=O)(/C=C/[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3)NC(=O)OCc1ccccc1)c1ccccc1)OCC,535.6010000000002,3.071500000000001,2.0,8.0,6.0,111.8,6.0,38.0,0.2592592592592592,1.210204231431432,5.56
CCCn1c(=O)c(C#N)nn(CC2CCCCC2)c1=O,301.37100000000004,2.3712800000000005,0.0,5.0,4.0,83.71,2.0,21.0,0.2666666666666666,2.561923228873209,5.96
COC[C@H](NC(=O)[C@H](CC(=O)NCC(C)(C)C)NS(=O)(=O)c1ccc(C)cc1)C(=O)N[C@@H](CC(C)C)C(=O)c1nnc(-c2ccccc2)o1,635.7580000000002,4.230600000000004,1.0,8.0,11.0,131.32000000000002,4.0,46.0,0.5142857142857142,1.4468409181359994,5.09
CC(C)CC(NC(=O)CNCC(Cc1ccccc1)c1ccccc1)C(=O)N[C@H]1CC(=O)OC1O,481.5930000000002,1.8834999999999995,4.0,6.0,12.0,116.76000000000002,3.0,35.0,0.4444444444444444,1.5467137419006871,6.23
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,344.4150000000002,2.25788,1.0,5.0,5.0,85.67,2.0,25.0,0.5,1.959388097557364,9.22
